Time (minutes),CPU Utilization (%)
0,3.784088633213484
1,0.8818404952269987
2,2.0046471075674113
3,4.793798417891633
4,4.24737717937906
5,2.041692255643449
6,1.1535470301677941
7,5.523345180205395
8,4.436798137338453
9,2.10350479155586
10,53.512582390127974
11,58.812049370340794
12,52.594021686079905
13,53.90858405706392
14,53.87277311065774
15,52.003139895802285
16,58.294901609252705
17,59.408909430034896
18,56.626424992170385
19,54.5901088907695
20,4.587212999379023
21,8.37386575846464
22,9.39160651816222
23,4.395523572291951
24,1.6464836975207109
25,7.902875987208985
26,3.457130836614981
27,2.739316623374073
28,8.136081011598964
29,9.506509880157605
30,50.45613962978653
31,57.83490912952772
32,55.87972309170089
33,50.26613661721271
34,56.87143123819709
35,55.56786071024542
36,52.522395323086684
37,55.19303362498782
38,58.388162532639335
39,51.01283582341648
40,7.319999463080289
41,2.610295743789508
42,3.5973244336899635
43,7.479815266272522
44,5.99745669575158
45,9.039886533362044
46,1.4685356408220085
47,0.45885769134526244
48,5.985317109707255
49,1.0818351631992507
50,57.6924943898886
51,52.804467544500625
52,51.786144793428726
53,53.665297225108816
54,54.206542297290575
55,52.44760996950595
56,50.51014559256281
57,50.04378067971476
58,53.319665302432526
59,59.606593872399046
60,4.186259664601803
61,4.664984607545913
62,7.398078318636228
63,0.7411787198978226
64,0.30610698004623904
65,0.1499330023065093
66,0.7584747926143021
67,0.50341853216471
68,9.877294719027983
69,4.681818399258354
70,52.59155336898918
71,59.893383352150295
72,51.51917166650551
73,56.2352017904088
74,51.38473989668317
75,56.834187926185265
76,53.42933279104483
77,56.314025636698474
78,50.47138949797602
79,56.18715846698781
80,0.7989966268426274
81,5.356782025744343
82,5.708476578673868
83,1.3592474687276301
84,1.687514304011285
85,3.5568903501616833
86,1.613280198259378
87,2.418315003318682
88,9.714135675054425
89,9.195185548207865
90,56.600812919121296
91,56.94738291094143
92,51.77505841716669
93,56.75233297509407
94,59.06762459402436
95,51.32445712696359
96,59.24708714742342
97,58.35009108308989
98,54.716231464825285
99,57.76014761111817
100,1.0350903799995737
101,8.14249319039514
102,6.864742955408085
103,2.463974657364946
104,1.6256902396638495
105,4.195997278927398
106,5.098589720254409
107,2.956168248247637
108,1.5893027597232767
109,1.5037002592064619
110,53.54593900742141
111,51.960901179459434
112,51.81111536390182
113,58.52163535820077
114,59.91679124345625
115,58.25166848059107
116,50.74598971419846
117,52.40489831711921
118,57.69234632855316
119,57.940232825582996
120,6.708103253463062
121,4.307591200557712
122,1.2932349432867518
123,8.800300456940697
124,5.580078072852073
125,6.002563925506993
126,2.085300465398255
127,5.6368149166637105
128,2.728622705715976
129,2.877060567576233
130,50.52235452895092
131,56.883698327287846
132,57.449768091348695
133,51.54575874814363
134,51.96238500331787
135,59.9716773032887
136,58.14961171653153
137,54.36155157896698
138,58.01343417553721
139,53.68030320120686
140,6.7883963350378504
141,3.834242443444731
142,5.2998512935819235
143,2.4721804109599943
144,3.806098916483618
145,2.4578546632637
146,2.756079422508421
147,8.411567830473981
148,1.093282428519785
149,7.984806061291662
150,50.963861462653234
151,56.05674887047023
152,53.12350817306899
153,51.733992826854426
154,50.45298016548329
155,55.467748037708986
156,54.458880180577765
157,53.79023411571123
158,50.475434143790835
159,56.710804807363445
160,9.783925601138732
161,4.653462582770657
162,2.961747027426922
163,4.380081262543286
164,4.296927253375261
165,8.407568193555695
166,9.088869313102247
167,7.22902119888038
168,2.4650050156639636
169,5.46405467784578
170,52.59690291502022
171,59.294673258770445
172,56.07493955655472
173,55.91094315386688
174,50.81704180723874
175,57.86381197104319
176,58.113853121757124
177,50.874579415184414
178,59.43316972749915
179,59.427008760332555
180,8.867123514741932
181,0.9675955448949847
182,4.347726121424687
183,5.360177069141214
184,4.574864275656894
185,7.926380785921165
186,0.27309782881562383
187,1.2039887101370195
188,7.203807795854553
189,5.635439806611372
190,59.8533424138258
191,55.257058873267795
192,53.69737985904231
193,58.78235641094318
194,59.04361834661252
195,53.67029317116205
196,54.71821606171963
197,56.391796812517285
198,54.7369366578951
199,54.155368182069495
200,3.4702644591759824
201,3.803249930638961
202,6.33078727527033
203,1.3734667360870378
204,5.3874546834856165
205,3.7820675295216355
206,7.36061509665562
207,8.216571997194535
208,1.4056022606435603
209,8.028467654571871
210,54.49538768757767
211,52.780397538477644
212,52.44958975286911
213,55.76142596749389
214,55.05845452620862
215,53.66472349636923
216,55.560969306428994
217,58.065540533018954
218,51.93056200438719
219,55.32016541932739
220,9.181843670067124
221,5.662515260372645
222,6.783222619738027
223,7.8347540122586405
224,3.7570645075407505
225,3.6409526135490977
226,2.4881472525818604
227,2.837295886591379
228,2.6595006058508943
229,4.144070212302894
230,52.13102388249737
231,50.53851498296183
232,50.59133923770003
233,54.87808538863325
234,57.720997005212766
235,55.79281952649004
236,50.64562333370242
237,50.33782377162397
238,56.18563895739349
239,59.457258919390114
240,3.1802867890838193
241,8.428098302031746
242,6.410853978643342
243,8.56218169866512
244,3.79418682378325
245,8.16036267628322
246,6.823786162509719
247,2.9599403699320503
248,5.177014458834773
249,9.517007985214205
250,52.209726700960964
251,55.59870339307411
252,55.87845782996652
253,55.25802082777414
254,52.563129238248095
255,52.50798813839052
256,57.214524477118786
257,54.88210057684991
258,50.04940340318213
259,56.58558935786836
260,5.302370976632096
261,9.111770591935667
262,6.876202022957378
263,6.774798129241408
264,7.5205879918177505
265,2.2525084868327063
266,1.0686062872925328
267,7.113149676099454
268,6.164677819840733
269,9.851644792212703
270,53.66649348873418
271,54.008973413431804
272,56.41681692930186
273,59.46432494668167
274,53.90274117425933
275,50.621856153637076
276,55.68628146624438
277,56.87461360327697
278,53.409933561426655
279,57.26558372003035
280,7.922991011512146
281,1.6962317291142592
282,8.09133850659184
283,6.800927275202549
284,1.8007763655243492
285,8.608744330788108
286,9.874528073086546
287,0.3831352375084718
288,3.758466809030272
289,8.578233108284127
290,59.23127540821879
291,56.47334022013447
292,56.76260793831006
293,56.562980664460824
294,55.020160590285215
295,52.50478218776514
296,59.38304694343604
297,56.901639357349126
298,53.22650748254741
299,56.88151306361861
300,0.5267644308117203
301,2.5385511552867634
302,9.772817699891144
303,7.490355690765255
304,1.2662589267385083
305,2.2812126257650034
306,2.2109122683086255
